featureName,id,class,county,state,latitude,longitude,elev,map,bgnDate,entryDate
Springfield Girls Camp,618534,Locale,Hampden,Massachusetts,420435N,0721003W,663,Wales,,24-FEB-1974
Springfield High School,600347,School,Hampden,Massachusetts,420623N,0723441W,190,Springfield South,,27-AUG-2002
Springfield High School,600349,School,Hampden,Massachusetts,420612N,0723501W,108,Springfield South,,27-AUG-2002
Springfield High School,601022,School,Hampden,Massachusetts,420645N,0723543W,82,Springfield South,,27-AUG-2002
Springfield High School at Van Sickle,2083333,School,Hampden,Massachusetts,420756N,0723425W,210,Springfield North,,26-JAN-2006
Springfield High Schools,600351,School,Hampden,Massachusetts,420620N,0723505W,108,Springfield South,,27-AUG-2002
Springfield Hill,1978483,Populated Place,Hampden,Massachusetts,420718N,0724238W,223,West Springfield,,16-JAN-2003
Springfield Indian Motorcycle Museum and Hall of Fame,1978484,Building,Hampden,Massachusetts,420758N,0723338W,220,Springfield North,,16-JAN-2003
Springfield Institution for Savings Shopping Mall,1978485,Building,Hampden,Massachusetts,420645N,0723330W,203,Springfield South,,16-JAN-2003
Springfield Junior High School,601054,School,Hampden,Massachusetts,420655N,0723552W,89,Springfield South,,27-AUG-2002
Springfield Memorial School,600998,School,Hampden,Massachusetts,420555N,0723235W,190,Springfield South,,27-AUG-2002
Springfield Museum Quadrangle,1978487,Park,Hampden,Massachusetts,420615N,0723510W,102,Springfield South,,16-JAN-2003
Springfield OWL Adult Education Center,2083011,School,Hampden,Massachusetts,420659N,0723300W,203,Springfield South,,12-JAN-2006
Springfield Plaza,601091,Locale,Hampden,Massachusetts,420813N,0723440W,213,Springfield North,,27-AUG-2002
Springfield Plaza Shopping Center,1978488,Locale,Hampden,Massachusetts,420812N,0723025W,226,Springfield North,,16-JAN-2003
Springfield Police Department,2755003,Building,Hampden,Massachusetts,420630N,0723509W,128,Springfield South,,27-JUN-2014
Springfield Post Office,1978489,Post Office,Hampden,Massachusetts,420602N,0723516W,66,Springfield South,,16-JAN-2003
Springfield Reservoir,609348,Reservoir,Hampden,Massachusetts,421233N,0722527W,371,Ludlow,,24-FEB-1974
Springfield Science Museum,1978490,Building,Hampden,Massachusetts,420617N,0723511W,102,Springfield South,,16-JAN-2003
Springfield Shopping Mall,603601,Locale,Hampden,Massachusetts,420531N,0722955W,230,Hampden,,27-AUG-2002
Springfield Street Historic District,1978491,Park,Hampden,Massachusetts,420839N,0723612W,154,Springfield North,,16-JAN-2003
Springfield Technical Community College Library,1978492,Building,Hampden,Massachusetts,Unknown,Unknown,,Unknown,,16-JAN-2003
Springfield Water Works Intake Dam,604887,Dam,Hampden,Massachusetts,420706N,0725122W,446,Southwick,,27-AUG-2002
Springfield Water Works Intake Reservoir,604888,Reservoir,Hampden,Massachusetts,420706N,0725122W,446,Southwick,,27-AUG-2002
